Nom;Catégorie; Energie;Sodium; Magnésium;Phosphore; Potassium; Calcium; Manganèse; Fer; Cuivre; Zinc; Iode; Protéines; Glucides; Amidon;Fibres; Eau; Lipides
Caviar, semi0conserve;Mer;746;0;0;0;0;0;0,07;0;0,04;0,8;117;25;2,5;0;0;61;7,52
Églefin, pané, frit;Mer;830;290;21;200;230;120;0,21;0,8;0,05;0,4;250;14,7;12;0;0,7;59,9;10
Foie de morue, appertisé, égoutté;Mer;1730;446;10,2;145;130;10;0,1;3,05;0,4;2;368;4,85;0;0;0;45,7;44,4
Haddock (fumé) ou Églefin fumé;Mer;345;760;23;180;340;22;0,01;0,1;0,03;0,3;260;19;0;0;0;78,3;0,6
Hareng fumé;Mer;595;1590;34,8;155;226;62,4;0,1;1;0,1;0,6;40;16,5;0;0;0;68,3;8,49
Hareng fumé, à l'huile;Mer;804;1630;27,4;125;173;59,2;0,1;0,9;0,1;0,5;20;15,1;0;0;0;62,6;14,8
Hareng mariné ou rollmops;Mer;830;1090;12;149;74;38;0,0463;3,56;120;0,56;69;16,5;2,7;0,69;0;61,2;13,6
Limande0sole, panée, frite;Mer;959;0;0;0;0;0;0;0;0,01;0,5;25;16;9,6;0;0,7;60,5;14
Maquereau fumé;Mer;1040;898;41,4;191;312;28,1;0,02;0,88;0,09;0,68;108;20,5;0;0;0;59;18,7
Maquereau, filet au vin blanc, appertisé, égoutté;Mer;858;415;20,1;112;181;123;0,11;1,24;0,11;1,13;18,7;18,9;0;0;0;64,5;14,5
Maquereau, filet sauce moutarde, appertisé, égoutté;Mer;875;405;26,7;127;180;22,9;0,04;1,26;0,09;0,64;20;16,9;1,5;0;0;64,3;15,2
Maquereau, filet sauce tomate, appertisé, égoutté;Mer;861;250;24;162;310;82;0,06;1;0,12;1,05;55,4;16,4;0;1;0,2;67,9;15,7
Morue, salée, pochée;Mer;479;2320;13,7;42;110;64,9;0,0194;0,35;0,089;0,842;74;26;0;0;0;67,4;1,01
Mousse de poisson;Mer;770;537;21;310;227;40,1;0,05;9;0,05;0,6;250;13;2,79;2,79;0,2;65,9;13,5
Oeufs de lompe, semi0conserve;Mer;605;973;12,5;192;124;37,9;0,1;0,9;0,1;0,8;60;19,2;0;0;0;68,4;7,52
