Nom;Catégorie; Energie;Sodium; Magnésium;Phosphore; Potassium; Calcium; Manganèse; Fer; Cuivre; Zinc; Iode; Protéines; Glucides; Amidon;Fibres; Eau; Lipides
Cervelle, agneau, cuite;Viande;523;130;15,9;316;205;6,93;0,059;3,53;0,21;1,36;1;10,8;0,8;0;0;77,3;8,8
Cervelle, porc, braisée;Viande;576;91;12;220;195;9;0,085;1,82;0,263;1,48;1;12,1;1,07;0;0;75,9;9,51
Cervelle, veau, cuite;Viande;562;156;16;385;214;16;0,038;1,67;0,26;1,61;1;11,5;0,6;0;0;76,9;9,63
Coeur, agneau, cru;Viande;407;114;17;188;298;7,5;0,046;5,01;0,397;1,82;0;16,8;0,4;0;0;78,4;3,09
Coeur, agneau, cuit;Viande;400;63;24;254;188;14;0,055;5,34;0,61;1,54;0;16,7;0,38;0;0;79;2,95
Coeur, boeuf, cru;Viande;388;93,5;18,7;206;260;6,24;0,0335;4,98;0,353;1,3;1,9;16,6;0,6;0;0;79,5;2,59
Coeur, boeuf, cuit;Viande;397;59;21;254;219;5;0,033;5,62;0,559;1,24;3;16,3;0,91;0;0;79;2,82
Coeur, dinde, cru;Viande;390;94;22;222;295;6;0,058;4,73;0,394;1,55;0;16,5;0,215;0;0;79,4;2,86
Coeur, dinde, cuit;Viande;416;90;26;259;291;7;0,065;5,39;0,492;1,6;0;16,4;0,565;0;0;78,3;3,44
Coeur, poulet, cru;Viande;393;69;16;177;176;12;0,089;5,2;0,346;1,62;0;16,4;0,7;0;0;79,5;2,76
Coeur, poulet, cuit;Viande;411;48;20;199;132;19;0,107;4,85;0,502;1,29;0;16,8;0,65;0;0;78,7;3,08
Foie, agneau, cru;Viande;570;73;19;390;290;6;0,32;6,94;9,67;4,32;5;19,1;3,25;0;0;71;5,15
Foie, agneau, cuit;Viande;895;90;22,5;424;286;8,5;0,557;7,53;8,45;6,07;5;26,4;6,49;0;0;56,4;9,09
Foie, génisse, cru;Viande;575;81;19;360;320;6;0,37;5,99;2,5;3,59;13;19;5,09;0;0;70,1;4,46
Foie, génisse, cuit;Viande;691;87,2;17,5;485;368;5,99;0,316;3,9;3,46;3,94;0;27,4;1,26;0;0;64,1;5,5
Foie, poulet, cuit;Viande;671;76;25;405;263;11;0,359;10,6;0,496;3,98;5;24,5;0,8;0;0;66,8;6,51
Foie, veau, cru;Viande;528;64,8;22,4;229;287;5,36;0,24;3,98;15,7;8,52;2,88;15,4;7,33;0;0;72,1;3,82
Foie, veau, cuit;Viande;598;89;28,3;302;450;9;0,286;5,05;20,1;13,2;5;25;1,57;0;0;67,7;3,96
Foie, volaille, cuit;Viande;653;268;18,1;230;0;7,04;0,281;4,8;0,449;3,93;5;24,7;0,17;0;0;67,4;6,21
Gésier, canard, confit, appertisé;Viande;632;766;18,3;126;214;8,5;0;9,4;0;6;32;32,4;0;0;0;63,9;2,1
Langue, boeuf, crue;Viande;774;75,3;16,7;176;250;8;0,0275;2,26;0,15;3,31;2,15;15,1;0,4;0;0;67,7;13,8
Langue, boeuf, cuite;Viande;1010;383;9,44;144;184;14,5;0,0437;3,06;0,127;2,2;5;22,6;3,03;0;0;57,9;15,6
Langue, veau, cuite;Viande;901;64;18;166;162;9;0,047;2,34;0,21;4,16;0;23,4;0;0;0;60,5;13,6
Ris, veau, braisé ou poêlé;Viande;536;59;24;627;435;4;0,021;0,87;0,072;1,56;4;21,8;0;0;0;73,6;4,46
Rognon d'agneau, braisé;Viande;593;210;24,5;325;259;15,5;0,137;12,2;0,51;3,95;10;24,1;0;0;0;68,5;4,96
Rognon de veau, braisé ou poêlé;Viande;701;0;0;0;0;0;0;5;0;4,9;10;26;0;0;0;67,7;7
Rognon, boeuf, cru;Viande;373;198;16;236;235;10,2;0,16;6,87;0,51;1,56;8,73;15,3;0,85;0;0;79,8;2,65
Rognon, boeuf, cuit;Viande;676;94;12;304;135;19;0,185;7,65;0,564;2,97;10;27,1;0;0;0;66,9;5,82
Rognon, cuit (aliment moyen);Viande;679;57,4;7,01;138;76,6;7,96;0,0756;6,79;0,243;4,18;10;26,1;0;0;0;67,6;6,36
Rognon, porc, cuit;Viande;606;80;18;240;143;13;0,149;5,29;0,683;4,15;10;25,4;0;0;0;68,7;4,7
Lait de croissance infantile;Lait;254;32,7;7,6;60;91,2;74,7;0;0;0,007;0;15;1,9;7,41;0;0;87,6;2,6
Graisse de canard;Graisse;3690;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0,2;99,8
Graisse d'oie;Graisse;3690;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0,2;99,8
Huile de foie de morue;Graisse;3700;0,01;0,04;0;0;0,575;0,001;0,037;0,0035;0,03;400;0;0;0;0;0;100
Huile de poisson;Graisse;3700;0;0;0;0;0;0;0;0;0;0,8;0;0;0;0;0;100
Lard gras, cru;Graisse;2700;640;9;102;177;29;0,001;0,777;0,054;1,14;0,5;7,36;1;0;0;20,5;69
Saindoux;Graisse;3700;1,33;0,667;2,4;0,667;0,6;0,00933;0,0533;0,0133;0,055;1,37;0,06;0;0;0;0,875;100
Beurre allégé (aliment moyen);Graisse;1270;168;2,97;8,24;45,1;14,9;0,294;0,335;0,294;0,294;3,77;3,41;4,47;0;0;62,8;30,6
Beurre allégé, 60062% MG;Graisse;2310;20,7;3,8;35;47,7;36,8;0;0;0;0;2;2,1;0,6;0;0;36,7;61,2
Beurre allégé, 60062% MG, demi0sel;Graisse;2190;450;3,45;34;42,2;33,4;0;0,595;0;0,26;2;2,1;0,5;0;0;39,5;58
Beurre demi0sel;Graisse;3010;774;4,94;23,7;39;16,5;0,00473;0,154;0,00918;0,0516;1,75;0,7;0;0;0;15,3;80,8
Beurre doux;Graisse;3060;15,5;2,03;24;17,8;16,5;0,00184;0,0873;0,0257;0,083;1,75;0,7;0;0;0;15,6;82,2
Beurre léger, 39041% MG;Graisse;1480;0;0;0;0;0;0;0,1;0;0;2;7;1;0;0;56,7;36,3
Beurre léger, 39041% MG, demi0sel;Graisse;1600;0;8;0;80;23;0;0,1;0;0;2;7;1;0;0;51;39,6
Matière grasse laitière à 20% MG, légère, à tartiner;Graisse;858;228;2,3;15;48,1;22,7;0;0;0;0;0;0,36;4,2;4,2;0;72,1;21,1
Matière grasse laitière à 25% MG, légère, à tartiner;Graisse;1080;286;2,5;14;51,2;18;0;0;0;0;0;0,9;6,9;2,9;0;68,8;25,6
Biscotte classique;Céréale;1700;484;43,2;122;250;23,4;0,673;1,37;0,135;0,793;8,43;10,8;71,7;64,1;3,89;4,87;6,82
Biscotte complète ou riche en fibres;Céréale;1680;487;77,8;260;350;40,6;2;3,1;0;1,9;0;12,2;65,6;56,1;9,2;3,7;7,24
Biscotte multicéréale;Céréale;1700;648;55,1;186;233;39,5;1,1;1,1;0;1,5;0;13;64,4;57,9;7,48;4,27;8,3
Biscotte sans adjonction de sel;Céréale;1700;2,1;22,5;120;161;376;0,7;1,3;0,182;7;6,3;9,93;73,4;63,4;5,9;4,32;5,84
Blini;Céréale;1130;463;14,2;116;137;38,9;0,3;0,6;0,1;0,45;30;5,86;30,3;28,4;1,5;47;13,7
Chapelure;Céréale;1670;728;55,5;196;270;72,8;1,2;1,8;0,1;1,5;0;11,6;71,5;56,5;4,5;4,68;5,5
Croûtons;Céréale;2350;246;25;119;161;20;0,617;1,3;0,127;0,712;6,3;13,8;38,4;0;4,2;5;38
Gressins;Céréale;1800;591;66,3;188;213;48;0,36;1,2;0,25;1,4;20;14,5;66,6;54,1;4;2,73;9,79
Pain grillé suédois au blé complet;Céréale;1670;635;60,9;213;284;26,8;1,7;1,6;0;1,4;0;10,3;67,3;54,8;7,51;4,97;7,48
Pain grillé suédois au froment;Céréale;1720;431;23,4;120;163;42,2;0;1;0;0;0;9,35;70,4;58,8;5,4;5,06;8,19
Pain grillé, tranches, au froment;Céréale;1680;582;40,5;104;182;27;0,7;1,35;0,18;1;4;9,55;74,6;68,2;4,42;4,15;5,23
Pain grillé, tranches, multicéréale;Céréale;1730;630;66;194;300;30;0,7;9;0,18;1,5;4;11;68,5;61,6;7,5;2;8
Pain pita;Céréale;1110;530;18,1;84;134;52,7;0;1;0;0;0;7,6;53,4;40,6;1,2;34,9;1,25
Tartine craquante, extrudée et grillée;Céréale;1620;599;29,8;131;254;42,3;1;1;0;0;0;9,6;74,2;64,2;3,85;6,4;3,9
Biscuit apéritif à base de pomme de terre, type tuile salée;Céréale;2140;388;0;0;0;0;0;0;0;0;0;4,42;49,3;49,3;11,5;1,85;30,6
Biscuit apéritif soufflé, à base de maïs, sans cacahuète;Céréale;2170;695;38,5;95,8;371;55,4;0,42;1,2;0,2;0,5;11;8,05;58;56,7;0;1,81;28,1
Biscuit apéritif soufflé, à base de pomme de terre;Céréale;1890;1440;44,3;129;790;36,5;0,27;1,37;0,18;0,69;0;5,6;57,3;53,8;5,8;5,6;21
Biscuit apéritif, crackers, allégé en matière grasse;Céréale;1750;618;29;108;152;72;0,7;2,9;0,2;0,75;8;10,2;68,8;64,2;6,28;4,05;9,64
Biscuit apéritif, crackers, garni ou fourré, au fromage;Céréale;2270;752;26,5;0;148;236;0;3,3;0;1,4;8;12,5;44,9;37,6;2,4;2,92;34,4
Biscuit apéritif, crackers, nature;Céréale;2020;582;31,9;99,5;183;34;0;4;0;0,8;8;8,5;64,4;54,1;2,35;1,54;20,7
Chips de crevette;Céréale;2210;876;15,5;42;41,5;46;0;1,4;0;0;194;2;59;42,5;2,1;3,5;31,2
Chips de maïs ou tortilla chips;Céréale;2070;970;50;156;263;45,4;0,322;0,853;0,254;1,46;5;9,9;55,2;35,2;3;4;25,5
Pop0corn ou Maïs éclaté, à l'air, non salé;Céréale;1530;6;132;320;315;9;1,11;2,94;0,262;3,24;2,5;12,9;62;60,8;11,2;7,8;4,65
Pop0corn ou Maïs éclaté, à l'huile, salé;Céréale;1830;623;79;186;182;7,73;0,743;2,19;0,161;2,69;0,833;9,6;58,7;54,8;9,28;4,97;16,1
Biscuit moelleux fourré à l'orange et enrobé de sucre glace;Céréale;1500;5,9;10,1;55;81;139;0,25;0,7;0,11;0,4;11;4,28;79,3;25,6;1;13,2;1,96
Biscuit sec (génoise) nappage aux fruits, type barquette;Céréale;1580;140;30;65,8;252;82,5;0,447;1,37;0,145;0,529;5;5,22;74,1;19,3;2,2;11,8;6,09
Biscuit sec à teneur garantie en vitamines;Céréale;1920;62,3;54;149;275;37,5;1,59;2;0,28;1,5;13;9,6;72,4;49;0;1,8;14,2
Biscuit sec à teneur garantie en vitamines et minéraux;Céréale;2000;176;195;213;256;579;5,69;6,4;0,35;1,9;11;10,7;62;39;3,5;1,28;19,8
Biscuit sec au beurre, sablé, galette ou palet;Céréale;2040;313;16,2;96,5;125;26,2;0,428;1,97;0,144;0,8;18;7,55;64,8;36,8;3,5;2,75;21,5
Biscuit sec aux fruits, hyposodé;Céréale;1860;15;40;160;325;45;0,3;1,95;0,1;0,35;12;10,8;61,4;38;6;5;15,8
Biscuit sec aux oeufs à la cuillère (cuiller) ou Boudoir;Céréale;1640;110;12,8;107;120;26,8;0;2,46;0;0,75;0;8,16;80,3;25,3;0,44;6,94;3,71
Biscuit sec avec nappage chocolat;Céréale;2110;227;51;120;274;444;0,6;4;0,39;0,9;11;6,56;64,1;14,7;1,71;2,36;24,1
Biscuit sec avec tablette de chocolat;Céréale;2070;219;37,5;185;218;76,2;0,35;5,3;0,25;0,8;24;6,74;64,4;26,9;3,4;2,34;22,8
Biscuit sec chocolaté, préemballé;Céréale;2050;247;40,2;199;226;59,4;0,656;3,21;0,287;1,1;6;6,7;60;29,2;3,15;4,79;24,1
Biscuit sec croquant (ex : tuile) sans chocolat, allégé en matière grasse;Céréale;1790;296;25,5;239;211;199;0;0;0;0;0;5,6;77,5;30,6;4,8;1,5;9,1
Biscuit sec croquant au chocolat, allégé en matière grasse;Céréale;1820;513;72,1;297;240;85,3;0;2,14;0;0;0;7,8;69,4;38,2;6,25;2,35;12,3
Biscuit sec feuilleté, type palmier ou autres;Céréale;2160;371;12,9;57,6;93,8;14,4;0,3;1,92;0,1;0,425;3;6,15;60,9;43;2,5;2,31;26,9
Biscuit sec fourré à la pâte ou purée de fruits;Céréale;1670;140;152;37;182;46;0,3;1,15;0,1;0,35;12;4,1;69,1;24,9;3,1;12,1;10,8
Biscuit sec fourré aux fruits, allégé en matière grasse;Céréale;1650;230;15,6;94;152;59;0;0;0;0;0;4,7;75,3;36,1;3;8,8;7,2
Biscuit sec ou tuile, aux amandes;Céréale;1890;312;36,7;195;226;50;0,762;1,15;0,22;0,75;10,4;7,8;69,5;28,6;3,2;3,9;14,8
Biscuit sec petit beurre;Céréale;1850;371;19,7;179;185;46,7;0,28;1,76;0,17;0,945;6,32;8,2;72,5;47,4;2,8;2,42;12,7
Biscuit sec pour petit déjeuner;Céréale;1930;288;97;237;258;165;0;3,96;0;0,3;0;5,25;67;41,1;5,28;2,78;17,9
Biscuit sec, avec matière grasse végétale;Céréale;1900;272;37,1;142;119;54,2;0,9;2,16;0,155;1,01;6;8,2;70;47,4;4;2,28;14,5
Biscuit sec, tout type;Céréale;1990;255;14;190;157;10;0,9;0,4;0,1;0,6;4,15;6,5;66,2;24;3;3,52;19,8
Cookie aux pépites de chocolat;Céréale;2110;401;61,4;168;172;35,6;0,718;2,44;0,42;1,06;11;6,52;61,3;27,7;1,98;3,36;25,4
Gaufrette fourrée, autre fourrage qu'aux fruits (chocolat, vanille, noisette, etc.);Céréale;2190;93;47,3;122;263;20,1;0;6,8;0;0;0;6,02;60,1;16,9;2,9;1,85;28,2
Gaufrette fourrée, aux fruits;Céréale;1560;106;28,8;66;121;24,5;0;0;0;0;0;5,2;84;37,5;0,31;8,94;0,994
Génoise sèche fourrée aux fruits et nappée de chocolat;Céréale;1670;97,4;37;96,3;159;220;0,36;1,9;0,28;0,9;12;3,97;69,1;17,9;0;13,8;11,4
"Goûter sec fourré (""sandwiché"") parfum chocolat";Céréale;1980;220;45;117;190;147;0,589;3,3;0,361;0,91;24;6,17;68,9;36,5;2,5;2,49;18,4
"Goûter sec fourré (""sandwiché"") parfum fruits";Céréale;1740;178;0;0;80;0;0;0;0;0;0;5,31;73,2;42,1;4,2;6,41;9,98
"Goûter sec fourré (""sandwiché"") parfum lait ou vanille";Céréale;2010;202;12,9;77;96,5;20,6;0;0;0;0;0;5,4;69,9;26,8;2,1;2,2;19,4
Langue de chat;Céréale;1830;207;15,4;84;135;21,8;0,4;0,6;0,12;0,3;2;5,19;76,4;36,9;3;3,15;11,4
Meringue;Céréale;1700;93,1;4,14;23,8;89,6;4,3;0;0,35;0,03;0,06;2;5,5;91,8;0;0;1,12;1,3
Palmier, artisanal;Céréale;2180;504;11,2;54;88,2;15,3;0;2,14;0;0,5;0;5,84;50,3;24,7;5,3;5,41;31,9
Sablé pâtissier;Céréale;2030;163;21,8;131;123;319;0;0;0;0;0;8,4;59,4;29,3;3,3;5;22,9
Tartine craquante, extrudée et grillée, fourrée au chocolat;Céréale;1800;126;56,2;190;411;173;0;3,7;0;1,2;0;8,1;66,2;28,5;5,1;5,5;13,4
Tartine craquante, extrudée et grillée, fourrée au chocolat ou aux fruits;Céréale;1680;108;0;0;0;0;0;0;0;0,91;0;5,73;70,5;35;5,64;7,6;8,87
Tartine craquante, extrudée et grillée, fourrée aux fruits;Céréale;1610;127;24,5;129;160;145;0;0;0;0;0;4,8;76;30,3;3,7;8,9;5,5
"Barre céréalière ""équilibre"" au chocolat, enrichie en vitamines et minéraux";Céréale;1710;425;35;105;180;35;0;5,35;0;1;0;8,5;75,7;39,2;2;5;6,5
"Barre céréalière ""équilibre"" aux fruits, enrichie en vitamines et minéraux";Céréale;1650;425;20;85;140;30;0;5,75;0;0,85;20;8;72,8;37,8;1,75;8,9;6,5
Barre céréalière à base de céréales pour petit déjeuner et de lait, enrichie en vitamines et minéraux;Céréale;1860;317;30;150;320;793;0;10,4;0;0,967;7;7;72;30,7;1,17;5;13,3
Barre céréalière aux amandes ou noisettes;Céréale;1890;100;40;140;180;100;0;0;0;0,8;7;7;63,2;35,3;2;7,5;18,5
Barre céréalière aux fruits;Céréale;1650;318;25;90;160;70;1,2;2,18;0,38;0,5;20;6,3;69,4;34,6;4,2;10;8,91
Barre céréalière chocolatée;Céréale;1860;164;55,7;146;262;112;0,6;3,1;0,28;1,13;4;6,27;65,7;34,8;3,27;6,22;16,4
Barre céréalière diététique hypocalorique;Céréale;1570;46,7;104;350;625;285;0,575;6,47;0,565;5,8;53,2;27;33,4;16,5;4,07;9,5;12,4
Boules de maïs soufflées au miel, enrichies en vitamines et minéraux;Céréale;1640;310;20;150;100;253;0;7,78;0;0,433;3;5;86,7;53,8;2,02;3;1,63
"Céréales pour petit déjeuner ""équilibre"" au chocolat, enrichies en vitamines et minéraux";Céréale;1690;314;53,8;183;245;65;0,6;10,8;0,342;1,5;40;11,8;72,1;46,4;3,42;4,16;6,47
"Céréales pour petit déjeuner ""équilibre"" aux fruits, enrichies en vitamines et minéraux";Céréale;1620;489;58,3;203;237;56,8;1,6;10,6;0;1,5;20;14;73,4;47,6;4,44;3;2,7
"Céréales pour petit déjeuner ""équilibre"" nature, enrichies en vitamines et minéraux";Céréale;1620;557;47,5;195;222;60;0;15,4;0;1,5;5;12,7;78,3;59,5;2,83;2,81;1,33
Céréales pour petit déjeuner (aliment moyen);Céréale;1660;441;30,5;94,1;262;201;0,331;7,75;0,195;0,734;8,87;6,16;81,8;49,5;2,94;3,35;3,69
Céréales pour petit déjeuner chocolatées, non fourrées, enrichies en vitamines et minéraux;Céréale;1660;442;30,3;85;338;453;0,467;7,3;0,203;0,702;8;4,17;83,2;43;3;3,53;4
Céréales pour petit déjeuner fourrées au chocolat ou chocolat0noisettes, enrichies en vitamines et minéraux;Céréale;1850;221;58,8;199;344;153;0,6;7,2;0,28;1,4;40;8,43;67,2;36,5;4,04;3,6;14,3
Céréales pour petit déjeuner fourrées, fourrage autre que chocolat, enrichies en vitamines et minéraux;Céréale;1780;170;20;200;270;155;1,38;5,2;0,342;1,4;7;5,66;64,9;38,1;5;8,6;14,5
Céréales pour petit déjeuner riches en fibres, enrichies en vitamines et minéraux;Céréale;1530;636;132;403;600;42;0;9,64;4,98;2,92;5;10,5;64,2;38;15;3,66;3,7
Flocons d'avoine, cuits à l'eau;Céréale;277;560;18;47;46;7;0,58;0,5;0,074;1;0,3;1,5;11,5;8,2;1,68;83,9;1,1
Grains de blé soufflés au miel ou caramel, enrichis en vitamines et minéraux;Céréale;1650;85,3;41,7;180;206;243;0,728;7,63;0,169;1,06;8;6,5;84,2;39;3,91;2;2,08
Grains de blé soufflés chocolatés, enrichis en vitamines et minéraux;Céréale;1640;114;80;220;400;267;0,5;7,45;0,2;2;8;8,82;75,5;30,9;6,57;2,66;4,29
Muesli (aliment moyen);Céréale;1890;223;63,6;182;316;54,5;2,16;6,26;0,408;1,3;43,9;7,81;61,5;31,9;7,76;3,65;17,6
Muesli croustillant au chocolat, enrichi en vitamines et minéraux;Céréale;1900;214;69,8;204;271;56,4;2,3;6,1;0,45;1,4;2;8,5;61,6;34,4;7,98;2,76;17,4
Muesli croustillant aux fruits ou fruits secs, enrichi en vitamines et minéraux;Céréale;1890;226;60,9;173;336;53,6;2,1;6,32;0,39;1,25;62;7,51;61,5;30,8;7,67;4,03;17,7
Muesli floconneux aux fruits ou fruits secs, enrichi en vitamines et minéraux;Céréale;1580;237;80;290;490;60;2,18;5,65;4,49;1,5;2,96;9;69,4;44;6,5;7,87;5,28
Muesli floconneux aux fruits ou fruits secs, sans sucre ajouté;Céréale;1590;68,8;74,5;315;460;143;1,61;3,2;0,386;1,86;2;11,3;61,8;45,8;8,35;9,18;7,63
Multi0céréales soufflées ou extrudées, enrichies en vitamines et minéraux;Céréale;1750;375;60;190;230;252;0;6,95;0;1;5;7,5;75;45,6;3,27;3;8,75
Pétales de blé avec noix, noisettes ou amandes, enrichis en vitamines et minéraux;Céréale;1640;633;95;278;375;116;1,6;8,9;0,4;1,95;5;10,4;67,3;46,4;8,54;5;6,74
Pétales de blé chocolatés, enrichis en vitamines et minéraux;Céréale;1650;217;55;145;499;328;0,7;7,7;0,2;1;5;4,5;83,7;43,3;4,44;2,35;3,12
Pétales de maïs glacés au sucre, enrichis en vitamines et minéraux;Céréale;1620;470;13,3;36,7;77,5;343;0,11;7,74;0,436;0,3;2,95;6;85,5;48,2;2,13;3,3;1,16
Pétales de maïs natures, enrichis en vitamines et minéraux;Céréale;1600;449;19,4;50;145;100;0,143;4,09;0,0306;0,329;2,95;7,5;83,7;74,5;2,95;2,98;0,764
Riz soufflé au chocolat, enrichi en vitamines et minéraux;Céréale;1670;270;51;118;310;346;0,7;7,44;0,27;0,967;2;5,26;83,7;47,5;2,68;2,78;3,8
Riz soufflé nature, enrichi en vitamines et minéraux;Céréale;1640;450;45;145;155;9,75;0,7;6,65;0,1;1;2;6,68;86,3;77;1,18;2,24;1,23
Andouille, réchauffée à la poêle;Viande;1130;1130;12,2;150;104;18;0,1;2,4;0,2;3,4;24;22,5;0;0;0;55,5;20
Andouillette, poêlée;Viande;1150;1090;9,6;98,3;64;35,6;0,1;2,3;0,2;4,3;15;24,5;1;0;0;48,7;19,3
Boudin blanc, poêlé;Viande;957;683;13;134;151;48,9;0,1;1,18;0,1;1,1;35,1;10,1;5,63;1,83;0;61,4;18,1
Boudin noir, poêlé;Viande;1100;749;8,5;27,2;155;27,2;0,1;22,8;0,1;0,7;40;14,8;1,8;0,5;0;53,9;21,6
Cervelas;Viande;1210;822;20,4;197;187;32,6;0,1;0,5;0,11;1;37,9;12;1,3;0;0;61,1;26,5
Charcuterie (aliment moyen);Viande;957;1070;24,9;163;330;11,3;0,0471;1,66;0,162;1,93;10,4;17,6;1,87;0,69;0;59,6;16,9
Chipolata, cuite;Viande;1410;855;28,1;0;507;11,8;0,0337;1,27;0,0723;2,61;0;19;8,38;0;0;45,8;25,4
Chorizo;Viande;1980;1730;27,5;253;479;35,8;0;2,8;0;2,3;0;21,1;3,5;0;0;26,3;42,1
Confit de canard;Viande;914;944;17,5;139;321;9,6;0,1;2,4;0,1;5,7;17;30,7;0;0;0;57,3;10,5
Coppa;Viande;968;1500;41,5;195;469;39,3;0,1;1,1;0,1;3,5;13,5;23,9;0,2;0;0;51,9;15,1
Filet de bacon, cuit;Viande;488;1260;0;0;0;0;0;0;0;0;11;23;0,7;0;0;68,2;2,3
Foie gras de canard, entier, appertisé;Viande;2000;409;0;0;0;0;0;0;0;0;0;6,9;1,6;0;0;36,5;50,1
Foie gras, appertisé;Viande;2110;493;9,02;109;133;4,35;0,107;4,48;0,876;1,19;2;9;0,85;0;0;36,1;52,4
Fromage de tête;Viande;697;830;9;80;69;13,1;0,02;1,23;0,111;1,23;2,1;14,7;0,2;0;0;66,5;12
Galantine;Viande;996;810;0;0;0;0;0;0;0;0;2;15,9;6,52;0;0,5;58,4;16,5
Jambon cru;Viande;966;2080;36,2;228;556;10,4;0,0121;0,969;0,079;2,37;1,2;21,1;0,45;0;0;51,4;16,2
Jambon cru, fumé;Viande;939;1990;20;275;256;5,16;0,1;0,9;0,1;0,28;5;24;0,1;0;0;52,6;14,3
Jambon cuit;Viande;508;829;28,1;136;359;7,14;0,01;0,838;0,0614;1,89;13,9;17,9;1,26;0;0;73;4,93
Jambon cuit supérieur;Viande;481;716;22,5;192;409;20;0,2;0,7;0,4;2;0;21,1;0,6;0;0;73,4;3,02
Jambon cuit supérieur, DD;Viande;479;745;20,9;411;305;7,2;0;0,9;0,06;2,12;6;20,9;0,425;0;0;73,1;3,15
Jambon cuit, de Paris, DD;Viande;452;64,3;26,3;426;358;7;0,0323;1,12;0,108;3,24;5;18;1,8;0;0;73,2;3,12
Jambon cuit, fumé;Viande;426;1890;23,5;457;434;4,3;0,1;1,84;0,077;4,35;5;19;0,45;0;0;71,7;2,59
Jambon de volaille;Viande;451;730;24,6;434;391;10;0,1;0,3;0,1;0,8;10,5;21,4;0,5;0;0;72,7;2,14
Jambon en croûte;Viande;1030;727;19,5;148;280;21,3;0,0524;0,956;0,0628;1,28;6,12;14,5;14,8;13,2;0,6;52,2;14,2
Jambon sec, découenné, dégraissé;Viande;818;2430;25,5;235;437;16,3;0;1,06;0,08;2,38;1,2;26,6;1,77;0;0;54,8;9,07
Jambonneau, cuit;Viande;606;910;0;429;0;0;0;0;0;0;0;20,6;1,1;0;0;72,2;6,41
Lardon fumé, cru;Viande;1100;1290;23,8;249;596;18,2;0,1;0,8;0,1;1,2;11,1;16,4;0,6;0;0;57,6;21,8
Lardon fumé, cuit;Viande;1070;1040;21;296;428;10;0,027;0,82;0,054;1,7;0;14,7;0;0,5;0;61,7;22,1
Lardon nature, cru;Viande;1100;1230;15,6;328;540;20;0,2;0,5;0,205;1,67;0,9;15,4;0,4;0;0;55,4;22,5
Lardon nature, cuit;Viande;1370;1650;22;156;572;7,5;0,1;0,5;0,1;2,1;12;23,8;2;0;0;45;25,1
Merguez, boeuf et mouton, cuite;Viande;1180;925;22,6;128;549;35,9;0,0403;2,01;0,131;3,23;25;19,8;0,215;0;0;52,4;22,6
Mortadelle;Viande;1300;851;26,9;127;270;36,5;0,1;0,8;0,1;1,5;27,8;14,1;1,4;0;0;55,1;27,9
Mousse de foie;Viande;1310;766;11,7;213;180;30,2;0,2;4,02;0,24;2,36;0;10,5;3,62;1,09;0;54,1;28,9
Museau de porc vinaigrette;Viande;1160;611;7,8;0;97;14,6;0;1,4;0;1,6;0;14,4;0,8;0;0;57,3;24,5
Pancetta ou Poitrine roulée sèche;Viande;1470;2330;0;171;442;20;0;0,8;0;3,35;0;21,3;0,35;0;0;44,7;29,8
Pâté de campagne;Viande;1380;1190;18,2;229;146;26,1;0,129;5,5;0,544;2,36;10;14,7;3,47;0,842;0,2;53,7;28,9
Pâté de foie de porc;Viande;1430;660;8,05;162;88,5;28,2;0,1;3,16;0,325;1,48;30,3;10,6;2,3;0,76;0,2;51,2;32,7
Pâté de foie de volaille;Viande;970;386;13;175;95;10;0,162;9,19;0,18;2,14;10;11,9;6;0;0;60,2;18
Pâté de lapin;Viande;1140;341;26;212;311;12,5;0;3,05;0;0;4;14,8;2;0;0;62,1;23
Pâté en croûte;Viande;1190;646;15,8;130;151;19,7;0,2;1,1;0,1;1,3;6;12,1;18,7;17,8;0,6;48,6;17,9
Poitrine de porc, fumée, crue;Viande;1290;1400;0;0;0;0;0;0;0;0;0;16,5;0;0;0;54,1;27,3
Quenelle au naturel, appertisée;Viande;828;501;6,3;0;37,9;22,4;0;0;0;0,5;0;4,9;9,33;0;0,6;68,9;15,7
Quenelle de volaille, appertisée;Viande;770;913;6,43;58,2;59,1;35,4;0,12;0,79;0,05;0,67;12;6,8;9,93;0;0,6;67,9;13
Quenelle en sauce, appertisée;Viande;629;536;8,1;0;91;25,1;0;0;0;0,4;12;3,6;8,54;0;0,6;75,3;11,3
Rillettes de viandes autres que pur porc (volaille...);Viande;1750;450;17;143;182;11,2;0,115;0,947;0,06;1,74;10;15,1;0,117;0;0;43,2;40,3
Rillettes pur porc;Viande;1690;474;15,7;138;246;20;0,2;1;0,5;2,22;3;14,2;0,1;0;0;44,3;39,2
Rillettes traditionnelles de porc;Viande;1720;1600;0;148;0;0;0;1;0;0;0;14,3;0,1;0;0;40,5;39,9
Rosette ou Fuseau;Viande;1670;1560;40,3;204;488;44;0,1;1,2;0,3;2,9;36,2;24,9;2;0;0;39;32,7
Salami;Viande;1990;1720;15,7;184;249;19,2;0,121;2;0,123;1,95;15,4;18,1;1,23;0;0;31,6;45
Saucisse (aliment moyen);Viande;1270;819;18,6;114;357;18,9;0,0287;1,12;0,0647;1,76;4,93;15,5;3,33;0,0723;0;53,1;25,7
